frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
227,1.0,[2055.112067445835 1136.2385978397706 2576.487465377449 1585.1611795811336],[2232.0615234375 1416.2493896484375 2424.838623046875 1507.040771484375],0.27102896571159363,AF05JED,0.16968365189191
228,6.0,[908.3375794494314 1497.7180424952921 1654.4876771499767 2089.129240111245],[1160.314208984375 1865.2012939453125 1382.5057373046875 1963.0118408203125],0.6037968993186951,GX15OGJ,0.3968506371073502
229,6.0,[905.6402708794581 1498.0878415439117 1656.5142562394067 2091.3160433675666],[1160.3133544921875 1865.2174072265625 1382.478515625 1962.9598388671875],0.6027969717979431,GX15OGJ,0.3968506371073502
231,1.0,[2052.639930618091 1140.2733381598425 2579.9993109342577 1593.9504033771411],[2226.4794921875 1419.859130859375 2427.220458984375 1508.2269287109375],0.33235976099967957,AF05JEO,0.27709448209437626
232,1.0,[2054.212489585244 1141.1413205474144 2582.9347701272636 1596.406785344069],[2225.127197265625 1425.3323974609375 2434.3125 1510.902099609375],0.4061931371688843,AF05JEO,0.1052728834392833
233,1.0,[2054.569683389377 1143.8445540917724 2583.014189307414 1600.7995174631997],[2229.464111328125 1429.0958251953125 2437.20458984375 1513.1873779296875],0.5010272264480591,AP05JEO,0.21618102515123905
237,8.0,[1145.2702143132274 1075.4141824446815 1620.2198170406964 1487.3803391895854],[1299.3302001953125 1306.6754150390625 1457.0474853515625 1388.4686279296875],0.3124390244483948,KH05ZZY,0.03876738416277595
240,6.0,[884.5628886328408 1538.8856185697475 1652.076921932592 2126.394871561317],[1143.88525390625 1915.36083984375 1373.7030029296875 2010.56396484375],0.6247849464416504,GX15OGJ,0.30590744599505976
240,1.0,[2050.8799737383715 1162.1040204037145 2586.5301073668215 1621.1062555493154],[2239.34130859375 1441.1114501953125 2436.39208984375 1534.8321533203125],0.36684495210647583,AP05JEO,0.12254362100794705
241,6.0,[881.2098365085008 1539.7412410645206 1651.6800813011446 2128.1326248453142],[1143.9527587890625 1915.3516845703125 1373.7081298828125 2010.6053466796875],0.6250016093254089,GX15OGJ,0.30590744599505976
241,1.0,[2049.063953777285 1162.9200133846246 2587.108302172348 1622.8178912493088],[2238.65283203125 1441.093017578125 2436.36279296875 1534.9617919921875],0.37443095445632935,AP05JEQ,0.11831256279867998
242,1.0,[2047.8336396583193 1162.3787625672833 2587.737052503112 1624.674504253264],[2226.961669921875 1442.2266845703125 2421.5947265625 1534.911376953125],0.46616625785827637,AP05JEQ,0.09749352906891826
244,1.0,[2047.4170663462469 1166.1946025550806 2590.8222603003956 1632.5279525985225],[2216.635986328125 1449.8701171875 2428.7080078125 1536.16552734375],0.3975783884525299,AP05JEO,0.07647203830233115
246,1.0,[2042.6425877548027 1171.579258446856 2590.5956424411343 1639.103643816053],[2241.713134765625 1465.8768310546875 2437.59423828125 1555.59521484375],0.35756123065948486,AP05JEO,0.108244143250597
247,1.0,[2041.3909598852833 1173.3533106545367 2590.90481918529 1640.5904859939053],[2241.790283203125 1465.8944091796875 2437.6015625 1555.5706787109375],0.35621377825737,AP05JEO,0.108244143250597
248,1.0,[2038.9625708051435 1174.6641251817382 2590.713436927822 1642.2395445544907],[2229.6591796875 1464.943359375 2427.624755859375 1550.38916015625],0.3477191627025604,AP05JEO,0.24153255510022972
249,13.0,[2236.378127093096 1592.3390368153555 2952.982234106704 2149.1264567858634],[2489.80615234375 1941.391845703125 2718.113037109375 2041.420166015625],0.2985179126262665,LN13VCV,0.5370052756422351
